seq_name,source,feature,start,end,score,strand,frame,attribute,attribute_geneID,attribute_transcriptID,attribute_exon_info,attribute_exon_info
chrMT,ncbiRefSeq.2021-05-17,exon,12138,12206,.,+,.,"gene_id ""TRNH""; transcript_id ""rna-TRNH""; exon_number ""1""; exon_id ""rna-TRNH.1""; gene_name ""TRNH"";","gene_id ""TRNH"""," transcript_id ""rna-TRNH"""," exon_number ""1"""," exon_id ""rna-TRNH.1""; gene_name ""TRNH"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,10760,12137,.,+,.,"gene_id ""ND4""; transcript_id ""YP_003024035.1"";  gene_name ""ND4"";","gene_id ""ND4"""," transcript_id ""YP_003024035.1""","  gene_name ""ND4""",
chrMT,ncbiRefSeq.2021-05-17,exon,10760,12137,.,+,.,"gene_id ""ND4""; transcript_id ""YP_003024035.1""; exon_number ""1""; exon_id ""YP_003024035.1.1""; gene_name ""ND4"";","gene_id ""ND4"""," transcript_id ""YP_003024035.1"""," exon_number ""1"""," exon_id ""YP_003024035.1.1""; gene_name ""ND4"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,10760,12137,.,+,0,"gene_id ""ND4""; transcript_id ""YP_003024035.1""; exon_number ""1""; exon_id ""YP_003024035.1.1""; gene_name ""ND4"";","gene_id ""ND4"""," transcript_id ""YP_003024035.1"""," exon_number ""1"""," exon_id ""YP_003024035.1.1""; gene_name ""ND4"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,10760,10762,.,+,0,"gene_id ""ND4""; transcript_id ""YP_003024035.1""; exon_number ""1""; exon_id ""YP_003024035.1.1""; gene_name ""ND4"";","gene_id ""ND4"""," transcript_id ""YP_003024035.1"""," exon_number ""1"""," exon_id ""YP_003024035.1.1""; gene_name ""ND4"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,10470,10766,.,+,.,"gene_id ""ND4L""; transcript_id ""YP_003024034.1"";  gene_name ""ND4L"";","gene_id ""ND4L"""," transcript_id ""YP_003024034.1""","  gene_name ""ND4L""",
chrMT,ncbiRefSeq.2021-05-17,exon,10470,10766,.,+,.,"gene_id ""ND4L""; transcript_id ""YP_003024034.1""; exon_number ""1""; exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";","gene_id ""ND4L"""," transcript_id ""YP_003024034.1"""," exon_number ""1"""," exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,10470,10763,.,+,0,"gene_id ""ND4L""; transcript_id ""YP_003024034.1""; exon_number ""1""; exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";","gene_id ""ND4L"""," transcript_id ""YP_003024034.1"""," exon_number ""1"""," exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,10470,10472,.,+,0,"gene_id ""ND4L""; transcript_id ""YP_003024034.1""; exon_number ""1""; exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";","gene_id ""ND4L"""," transcript_id ""YP_003024034.1"""," exon_number ""1"""," exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,10764,10766,.,+,0,"gene_id ""ND4L""; transcript_id ""YP_003024034.1""; exon_number ""1""; exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";","gene_id ""ND4L"""," transcript_id ""YP_003024034.1"""," exon_number ""1"""," exon_id ""YP_003024034.1.1""; gene_name ""ND4L"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,10405,10469,.,+,.,"gene_id ""TRNR""; transcript_id ""rna-TRNR"";  gene_name ""TRNR"";","gene_id ""TRNR"""," transcript_id ""rna-TRNR""","  gene_name ""TRNR""",
chrMT,ncbiRefSeq.2021-05-17,exon,10405,10469,.,+,.,"gene_id ""TRNR""; transcript_id ""rna-TRNR""; exon_number ""1""; exon_id ""rna-TRNR.1""; gene_name ""TRNR"";","gene_id ""TRNR"""," transcript_id ""rna-TRNR"""," exon_number ""1"""," exon_id ""rna-TRNR.1""; gene_name ""TRNR"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,10059,10404,.,+,.,"gene_id ""ND3""; transcript_id ""YP_003024033.1"";  gene_name ""ND3"";","gene_id ""ND3"""," transcript_id ""YP_003024033.1""","  gene_name ""ND3""",
chrMT,ncbiRefSeq.2021-05-17,exon,10059,10404,.,+,.,"gene_id ""ND3""; transcript_id ""YP_003024033.1""; exon_number ""1""; exon_id ""YP_003024033.1.1""; gene_name ""ND3"";","gene_id ""ND3"""," transcript_id ""YP_003024033.1"""," exon_number ""1"""," exon_id ""YP_003024033.1.1""; gene_name ""ND3"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,10059,10404,.,+,0,"gene_id ""ND3""; transcript_id ""YP_003024033.1""; exon_number ""1""; exon_id ""YP_003024033.1.1""; gene_name ""ND3"";","gene_id ""ND3"""," transcript_id ""YP_003024033.1"""," exon_number ""1"""," exon_id ""YP_003024033.1.1""; gene_name ""ND3"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,10059,10061,.,+,0,"gene_id ""ND3""; transcript_id ""YP_003024033.1""; exon_number ""1""; exon_id ""YP_003024033.1.1""; gene_name ""ND3"";","gene_id ""ND3"""," transcript_id ""YP_003024033.1"""," exon_number ""1"""," exon_id ""YP_003024033.1.1""; gene_name ""ND3"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,9991,10058,.,+,.,"gene_id ""TRNG""; transcript_id ""rna-TRNG"";  gene_name ""TRNG"";","gene_id ""TRNG"""," transcript_id ""rna-TRNG""","  gene_name ""TRNG""",
chrMT,ncbiRefSeq.2021-05-17,exon,9991,10058,.,+,.,"gene_id ""TRNG""; transcript_id ""rna-TRNG""; exon_number ""1""; exon_id ""rna-TRNG.1""; gene_name ""TRNG"";","gene_id ""TRNG"""," transcript_id ""rna-TRNG"""," exon_number ""1"""," exon_id ""rna-TRNG.1""; gene_name ""TRNG"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,9207,9990,.,+,.,"gene_id ""COX3""; transcript_id ""YP_003024032.1"";  gene_name ""COX3"";","gene_id ""COX3"""," transcript_id ""YP_003024032.1""","  gene_name ""COX3""",
chrMT,ncbiRefSeq.2021-05-17,exon,9207,9990,.,+,.,"gene_id ""COX3""; transcript_id ""YP_003024032.1""; exon_number ""1""; exon_id ""YP_003024032.1.1""; gene_name ""COX3"";","gene_id ""COX3"""," transcript_id ""YP_003024032.1"""," exon_number ""1"""," exon_id ""YP_003024032.1.1""; gene_name ""COX3"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,9207,9990,.,+,0,"gene_id ""COX3""; transcript_id ""YP_003024032.1""; exon_number ""1""; exon_id ""YP_003024032.1.1""; gene_name ""COX3"";","gene_id ""COX3"""," transcript_id ""YP_003024032.1"""," exon_number ""1"""," exon_id ""YP_003024032.1.1""; gene_name ""COX3"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,9207,9209,.,+,0,"gene_id ""COX3""; transcript_id ""YP_003024032.1""; exon_number ""1""; exon_id ""YP_003024032.1.1""; gene_name ""COX3"";","gene_id ""COX3"""," transcript_id ""YP_003024032.1"""," exon_number ""1"""," exon_id ""YP_003024032.1.1""; gene_name ""COX3"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,8527,9207,.,+,.,"gene_id ""ATP6""; transcript_id ""YP_003024031.1"";  gene_name ""ATP6"";","gene_id ""ATP6"""," transcript_id ""YP_003024031.1""","  gene_name ""ATP6""",
chrMT,ncbiRefSeq.2021-05-17,exon,8527,9207,.,+,.,"gene_id ""ATP6""; transcript_id ""YP_003024031.1""; exon_number ""1""; exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";","gene_id ""ATP6"""," transcript_id ""YP_003024031.1"""," exon_number ""1"""," exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,8527,9204,.,+,0,"gene_id ""ATP6""; transcript_id ""YP_003024031.1""; exon_number ""1""; exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";","gene_id ""ATP6"""," transcript_id ""YP_003024031.1"""," exon_number ""1"""," exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,8527,8529,.,+,0,"gene_id ""ATP6""; transcript_id ""YP_003024031.1""; exon_number ""1""; exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";","gene_id ""ATP6"""," transcript_id ""YP_003024031.1"""," exon_number ""1"""," exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,9205,9207,.,+,0,"gene_id ""ATP6""; transcript_id ""YP_003024031.1""; exon_number ""1""; exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";","gene_id ""ATP6"""," transcript_id ""YP_003024031.1"""," exon_number ""1"""," exon_id ""YP_003024031.1.1""; gene_name ""ATP6"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,8366,8572,.,+,.,"gene_id ""ATP8""; transcript_id ""YP_003024030.1"";  gene_name ""ATP8"";","gene_id ""ATP8"""," transcript_id ""YP_003024030.1""","  gene_name ""ATP8""",
chrMT,ncbiRefSeq.2021-05-17,exon,8366,8572,.,+,.,"gene_id ""ATP8""; transcript_id ""YP_003024030.1""; exon_number ""1""; exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";","gene_id ""ATP8"""," transcript_id ""YP_003024030.1"""," exon_number ""1"""," exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,8366,8569,.,+,0,"gene_id ""ATP8""; transcript_id ""YP_003024030.1""; exon_number ""1""; exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";","gene_id ""ATP8"""," transcript_id ""YP_003024030.1"""," exon_number ""1"""," exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,8366,8368,.,+,0,"gene_id ""ATP8""; transcript_id ""YP_003024030.1""; exon_number ""1""; exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";","gene_id ""ATP8"""," transcript_id ""YP_003024030.1"""," exon_number ""1"""," exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,8570,8572,.,+,0,"gene_id ""ATP8""; transcript_id ""YP_003024030.1""; exon_number ""1""; exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";","gene_id ""ATP8"""," transcript_id ""YP_003024030.1"""," exon_number ""1"""," exon_id ""YP_003024030.1.1""; gene_name ""ATP8"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,8295,8364,.,+,.,"gene_id ""TRNK""; transcript_id ""rna-TRNK"";  gene_name ""TRNK"";","gene_id ""TRNK"""," transcript_id ""rna-TRNK""","  gene_name ""TRNK""",
chrMT,ncbiRefSeq.2021-05-17,exon,8295,8364,.,+,.,"gene_id ""TRNK""; transcript_id ""rna-TRNK""; exon_number ""1""; exon_id ""rna-TRNK.1""; gene_name ""TRNK"";","gene_id ""TRNK"""," transcript_id ""rna-TRNK"""," exon_number ""1"""," exon_id ""rna-TRNK.1""; gene_name ""TRNK"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,7586,8269,.,+,.,"gene_id ""COX2""; transcript_id ""YP_003024029.1"";  gene_name ""COX2"";","gene_id ""COX2"""," transcript_id ""YP_003024029.1""","  gene_name ""COX2""",
chrMT,ncbiRefSeq.2021-05-17,exon,7586,8269,.,+,.,"gene_id ""COX2""; transcript_id ""YP_003024029.1""; exon_number ""1""; exon_id ""YP_003024029.1.1""; gene_name ""COX2"";","gene_id ""COX2"""," transcript_id ""YP_003024029.1"""," exon_number ""1"""," exon_id ""YP_003024029.1.1""; gene_name ""COX2"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,7586,8266,.,+,0,"gene_id ""COX2""; transcript_id ""YP_003024029.1""; exon_number ""1""; exon_id ""YP_003024029.1.1""; gene_name ""COX2"";","gene_id ""COX2"""," transcript_id ""YP_003024029.1"""," exon_number ""1"""," exon_id ""YP_003024029.1.1""; gene_name ""COX2"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,7586,7588,.,+,0,"gene_id ""COX2""; transcript_id ""YP_003024029.1""; exon_number ""1""; exon_id ""YP_003024029.1.1""; gene_name ""COX2"";","gene_id ""COX2"""," transcript_id ""YP_003024029.1"""," exon_number ""1"""," exon_id ""YP_003024029.1.1""; gene_name ""COX2"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,8267,8269,.,+,0,"gene_id ""COX2""; transcript_id ""YP_003024029.1""; exon_number ""1""; exon_id ""YP_003024029.1.1""; gene_name ""COX2"";","gene_id ""COX2"""," transcript_id ""YP_003024029.1"""," exon_number ""1"""," exon_id ""YP_003024029.1.1""; gene_name ""COX2"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,7518,7585,.,+,.,"gene_id ""TRND""; transcript_id ""rna-TRND"";  gene_name ""TRND"";","gene_id ""TRND"""," transcript_id ""rna-TRND""","  gene_name ""TRND""",
chrMT,ncbiRefSeq.2021-05-17,exon,7518,7585,.,+,.,"gene_id ""TRND""; transcript_id ""rna-TRND""; exon_number ""1""; exon_id ""rna-TRND.1""; gene_name ""TRND"";","gene_id ""TRND"""," transcript_id ""rna-TRND"""," exon_number ""1"""," exon_id ""rna-TRND.1""; gene_name ""TRND"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,7446,7514,.,-,.,"gene_id ""TRNS1""; transcript_id ""rna-TRNS1"";  gene_name ""TRNS1"";","gene_id ""TRNS1"""," transcript_id ""rna-TRNS1""","  gene_name ""TRNS1""",
chrMT,ncbiRefSeq.2021-05-17,exon,7446,7514,.,-,.,"gene_id ""TRNS1""; transcript_id ""rna-TRNS1""; exon_number ""1""; exon_id ""rna-TRNS1.1""; gene_name ""TRNS1"";","gene_id ""TRNS1"""," transcript_id ""rna-TRNS1"""," exon_number ""1"""," exon_id ""rna-TRNS1.1""; gene_name ""TRNS1"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,5904,7445,.,+,.,"gene_id ""COX1""; transcript_id ""YP_003024028.1"";  gene_name ""COX1"";","gene_id ""COX1"""," transcript_id ""YP_003024028.1""","  gene_name ""COX1""",
chrMT,ncbiRefSeq.2021-05-17,exon,5904,7445,.,+,.,"gene_id ""COX1""; transcript_id ""YP_003024028.1""; exon_number ""1""; exon_id ""YP_003024028.1.1""; gene_name ""COX1"";","gene_id ""COX1"""," transcript_id ""YP_003024028.1"""," exon_number ""1"""," exon_id ""YP_003024028.1.1""; gene_name ""COX1"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,5904,7442,.,+,0,"gene_id ""COX1""; transcript_id ""YP_003024028.1""; exon_number ""1""; exon_id ""YP_003024028.1.1""; gene_name ""COX1"";","gene_id ""COX1"""," transcript_id ""YP_003024028.1"""," exon_number ""1"""," exon_id ""YP_003024028.1.1""; gene_name ""COX1"";"
chrMT,ncbiRefSeq.2021-05-17,start_codon,5904,5906,.,+,0,"gene_id ""COX1""; transcript_id ""YP_003024028.1""; exon_number ""1""; exon_id ""YP_003024028.1.1""; gene_name ""COX1"";","gene_id ""COX1"""," transcript_id ""YP_003024028.1"""," exon_number ""1"""," exon_id ""YP_003024028.1.1""; gene_name ""COX1"";"
chrMT,ncbiRefSeq.2021-05-17,stop_codon,7443,7445,.,+,0,"gene_id ""COX1""; transcript_id ""YP_003024028.1""; exon_number ""1""; exon_id ""YP_003024028.1.1""; gene_name ""COX1"";","gene_id ""COX1"""," transcript_id ""YP_003024028.1"""," exon_number ""1"""," exon_id ""YP_003024028.1.1""; gene_name ""COX1"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,5826,5891,.,-,.,"gene_id ""TRNY""; transcript_id ""rna-TRNY"";  gene_name ""TRNY"";","gene_id ""TRNY"""," transcript_id ""rna-TRNY""","  gene_name ""TRNY""",
chrMT,ncbiRefSeq.2021-05-17,exon,5826,5891,.,-,.,"gene_id ""TRNY""; transcript_id ""rna-TRNY""; exon_number ""1""; exon_id ""rna-TRNY.1""; gene_name ""TRNY"";","gene_id ""TRNY"""," transcript_id ""rna-TRNY"""," exon_number ""1"""," exon_id ""rna-TRNY.1""; gene_name ""TRNY"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,5761,5826,.,-,.,"gene_id ""TRNC""; transcript_id ""rna-TRNC"";  gene_name ""TRNC"";","gene_id ""TRNC"""," transcript_id ""rna-TRNC""","  gene_name ""TRNC""",
chrMT,ncbiRefSeq.2021-05-17,exon,5761,5826,.,-,.,"gene_id ""TRNC""; transcript_id ""rna-TRNC""; exon_number ""1""; exon_id ""rna-TRNC.1""; gene_name ""TRNC"";","gene_id ""TRNC"""," transcript_id ""rna-TRNC"""," exon_number ""1"""," exon_id ""rna-TRNC.1""; gene_name ""TRNC"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,5657,5729,.,-,.,"gene_id ""TRNN""; transcript_id ""rna-TRNN"";  gene_name ""TRNN"";","gene_id ""TRNN"""," transcript_id ""rna-TRNN""","  gene_name ""TRNN""",
chrMT,ncbiRefSeq.2021-05-17,exon,5657,5729,.,-,.,"gene_id ""TRNN""; transcript_id ""rna-TRNN""; exon_number ""1""; exon_id ""rna-TRNN.1""; gene_name ""TRNN"";","gene_id ""TRNN"""," transcript_id ""rna-TRNN"""," exon_number ""1"""," exon_id ""rna-TRNN.1""; gene_name ""TRNN"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,5587,5655,.,-,.,"gene_id ""TRNA""; transcript_id ""rna-TRNA"";  gene_name ""TRNA"";","gene_id ""TRNA"""," transcript_id ""rna-TRNA""","  gene_name ""TRNA""",
chrMT,ncbiRefSeq.2021-05-17,exon,5587,5655,.,-,.,"gene_id ""TRNA""; transcript_id ""rna-TRNA""; exon_number ""1""; exon_id ""rna-TRNA.1""; gene_name ""TRNA"";","gene_id ""TRNA"""," transcript_id ""rna-TRNA"""," exon_number ""1"""," exon_id ""rna-TRNA.1""; gene_name ""TRNA"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,5512,5579,.,+,.,"gene_id ""TRNW""; transcript_id ""rna-TRNW"";  gene_name ""TRNW"";","gene_id ""TRNW"""," transcript_id ""rna-TRNW""","  gene_name ""TRNW""",
chrMT,ncbiRefSeq.2021-05-17,exon,5512,5579,.,+,.,"gene_id ""TRNW""; transcript_id ""rna-TRNW""; exon_number ""1""; exon_id ""rna-TRNW.1""; gene_name ""TRNW"";","gene_id ""TRNW"""," transcript_id ""rna-TRNW"""," exon_number ""1"""," exon_id ""rna-TRNW.1""; gene_name ""TRNW"";"
chrMT,ncbiRefSeq.2021-05-17,transcript,4470,5511,.,+,.,"gene_id ""ND2""; transcript_id ""YP_003024027.1"";  gene_name ""ND2"";","gene_id ""ND2"""," transcript_id ""YP_003024027.1""","  gene_name ""ND2""",
chrMT,ncbiRefSeq.2021-05-17,exon,4470,5511,.,+,.,"gene_id ""ND2""; transcript_id ""YP_003024027.1""; exon_number ""1""; exon_id ""YP_003024027.1.1""; gene_name ""ND2"";","gene_id ""ND2"""," transcript_id ""YP_003024027.1"""," exon_number ""1"""," exon_id ""YP_003024027.1.1""; gene_name ""ND2"";"
chrMT,ncbiRefSeq.2021-05-17,CDS,4470,5511,.,+,0,"gene_id ""ND2""; transcript_id ""YP_003024027.1""; exon_number ""1""; exon_id ""YP_003024027.1.1""; gene_name ""ND2"";","gene_id ""ND2"""," transcript_id ""YP_003024027.1"""," exon_number ""1"""," exon_id ""YP_003024027.1.1""; gene_name ""ND2"";"
